timestamp,user,src_ip,dest_ip,event_type,process_name,file_hash,severity,ip_ip,ip_malicious_score,ip_threat_category,ip_confidence,hash_file_hash,hash_malicious_score,hash_threat_category,hash_confidence
2026-05-15 18:05:00.712104,user6,10.0.0.36,10.0.0.40,successful_login,winword.exe,,critical,10.0.0.20,41,phishing,69,hash_27,20,benign,6
2026-05-15 18:05:33.712104,user4,10.0.0.50,10.0.0.20,lateral_movement,cmd.exe,,medium,10.0.0.35,10,benign,5,,23,benign,32
2026-05-15 18:05:38.712104,user7,10.0.0.44,10.0.0.31,successful_login,powershell.exe,hash_118,low,10.0.0.40,84,unknown,88,hash_113,80,ransomware,76
2026-05-15 18:10:02.712104,user15,10.0.0.10,10.0.0.6,failed_login,cmd.exe,,low,10.0.0.39,41,bruteforce,71,,18,benign,23
2026-05-15 18:11:57.712104,user10,10.0.0.28,10.0.0.13,malware_detected,svchost.exe,,low,10.0.0.40,56,botnet,55,,31,benign,43
2026-05-15 18:15:47.712104,user18,10.0.0.7,10.0.0.17,failed_login,powershell.exe,,medium,10.0.0.14,65,bruteforce,59,,28,benign,29
2026-05-15 18:16:43.712104,user20,10.0.0.25,10.0.0.25,malware_detected,powershell.exe,hash_6,low,10.0.0.50,1,benign,7,hash_49,88,unknown,89
2026-05-15 18:38:01.712104,user2,10.0.0.24,10.0.0.15,successful_login,winword.exe,,low,10.0.0.26,97,botnet,82,,72,unknown,83
2026-05-15 18:39:52.712104,user13,10.0.0.32,10.0.0.29,successful_login,winword.exe,hash_131,low,10.0.0.7,55,unknown,97,,94,phishing,86
2026-05-15 18:42:41.712104,user14,10.0.0.29,10.0.0.22,failed_login,svchost.exe,,critical,10.0.0.32,70,ransomware,69,,91,unknown,52
2026-05-15 18:49:30.712104,user14,10.0.0.45,10.0.0.28,failed_login,powershell.exe,hash_15,high,10.0.0.2,40,benign,46,hash_162,83,botnet,88
2026-05-15 19:02:37.712104,user18,10.0.0.3,10.0.0.21,malware_detected,cmd.exe,hash_74,low,10.0.0.25,81,botnet,70,,68,ransomware,86
2026-05-15 19:04:50.712104,user3,10.0.0.30,10.0.0.39,failed_login,winword.exe,,high,10.0.0.28,42,unknown,83,hash_25,92,bruteforce,50
2026-05-15 19:15:19.712104,user17,10.0.0.1,10.0.0.14,malware_detected,cmd.exe,,low,10.0.0.32,74,botnet,69,hash_162,59,unknown,50
2026-05-15 19:25:02.712104,user5,10.0.0.29,10.0.0.35,failed_login,winword.exe,,low,10.0.0.36,54,phishing,75,,98,bruteforce,89
2026-05-15 19:28:39.712104,user15,10.0.0.5,10.0.0.3,failed_login,powershell.exe,,low,10.0.0.8,60,unknown,50,,7,benign,5
2026-05-15 19:31:17.712104,user20,10.0.0.40,10.0.0.14,successful_login,cmd.exe,,medium,10.0.0.43,77,bruteforce,68,,26,benign,25
2026-05-15 19:34:15.712104,user8,10.0.0.47,10.0.0.23,malware_detected,chrome.exe,,low,10.0.0.2,7,benign,50,,69,phishing,79
2026-05-15 19:39:12.712104,user2,10.0.0.47,10.0.0.5,impossible_travel,svchost.exe,,medium,10.0.0.29,24,benign,1,,97,unknown,63
2026-05-15 19:40:58.712104,user5,10.0.0.33,10.0.0.50,malware_detected,winword.exe,,low,10.0.0.39,52,bruteforce,50,,97,unknown,57
2026-05-15 19:41:05.712104,user6,10.0.0.34,10.0.0.46,successful_login,powershell.exe,hash_145,critical,10.0.0.16,56,botnet,90,hash_66,100,unknown,94
2026-05-15 19:45:27.712104,user12,10.0.0.27,10.0.0.37,failed_login,chrome.exe,,low,10.0.0.28,30,benign,5,,76,botnet,59
