timestamp,user,src_ip,dest_ip,event_type,process_name,file_hash,severity,ip_ip,ip_malicious_score,ip_threat_category,ip_confidence,hash_file_hash,hash_malicious_score,hash_threat_category,hash_confidence,anomaly_score,is_anomaly,normalized_anomaly,risk_level
2026-05-15 18:05:00.712104,user6,10.0.0.36,10.0.0.40,successful_login,winword.exe,,critical,10.0.0.20,41,phishing,69,hash_27,20,benign,6,-0.022022318746917346,0,-0.6657426800789662,low
2026-05-15 18:05:33.712104,user4,10.0.0.50,10.0.0.20,lateral_movement,cmd.exe,,medium,10.0.0.35,10,benign,5,,23,benign,32,0.003803836894352819,1,0.11499136842636863,low
2026-05-15 18:05:38.712104,user7,10.0.0.44,10.0.0.31,successful_login,powershell.exe,hash_118,low,10.0.0.40,84,unknown,88,hash_113,80,ransomware,76,-0.05640834351114016,0,-1.7052446756170074,low
2026-05-15 18:10:02.712104,user15,10.0.0.10,10.0.0.6,failed_login,cmd.exe,,low,10.0.0.39,41,bruteforce,71,,18,benign,23,-0.0428763812788342,0,-1.2961685512182648,low
2026-05-15 18:11:57.712104,user10,10.0.0.28,10.0.0.13,malware_detected,svchost.exe,,low,10.0.0.40,56,botnet,55,,31,benign,43,-0.034281930828218676,0,-1.0363551981125856,low
2026-05-15 18:15:47.712104,user18,10.0.0.7,10.0.0.17,failed_login,powershell.exe,,medium,10.0.0.14,65,bruteforce,59,,28,benign,29,-0.047871666139064406,0,-1.4471778236216557,low
2026-05-15 18:16:43.712104,user20,10.0.0.25,10.0.0.25,malware_detected,powershell.exe,hash_6,low,10.0.0.50,1,benign,7,hash_49,88,unknown,89,-0.026306630965196365,0,-0.7952589917476178,low
2026-05-15 18:38:01.712104,user2,10.0.0.24,10.0.0.15,successful_login,winword.exe,,low,10.0.0.26,97,botnet,82,,72,unknown,83,-0.04738482293789231,0,-1.432460377141507,low
2026-05-15 18:39:52.712104,user13,10.0.0.32,10.0.0.29,successful_login,winword.exe,hash_131,low,10.0.0.7,55,unknown,97,,94,phishing,86,-0.039057919222487414,0,-1.1807350588423546,low
2026-05-15 18:42:41.712104,user14,10.0.0.29,10.0.0.22,failed_login,svchost.exe,,critical,10.0.0.32,70,ransomware,69,,91,unknown,52,-0.015186505552519047,0,-0.4590935688360863,low
2026-05-15 18:49:30.712104,user14,10.0.0.45,10.0.0.28,failed_login,powershell.exe,hash_15,high,10.0.0.2,40,benign,46,hash_162,83,botnet,88,-0.033359858767897876,0,-1.0084806254248286,low
2026-05-15 19:02:37.712104,user18,10.0.0.3,10.0.0.21,malware_detected,cmd.exe,hash_74,low,10.0.0.25,81,botnet,70,,68,ransomware,86,-0.01033797132597769,0,-0.3125206212946711,low
2026-05-15 19:04:50.712104,user3,10.0.0.30,10.0.0.39,failed_login,winword.exe,,high,10.0.0.28,42,unknown,83,hash_25,92,bruteforce,50,-0.014077012142403145,0,-0.42555318079298315,low
2026-05-15 19:15:19.712104,user17,10.0.0.1,10.0.0.14,malware_detected,cmd.exe,,low,10.0.0.32,74,botnet,69,hash_162,59,unknown,50,-0.03305563687389118,0,-0.9992838872710378,low
2026-05-15 19:25:02.712104,user5,10.0.0.29,10.0.0.35,failed_login,winword.exe,,low,10.0.0.36,54,phishing,75,,98,bruteforce,89,-0.04065598386710656,0,-1.229045132439719,low
2026-05-15 19:28:39.712104,user15,10.0.0.5,10.0.0.3,failed_login,powershell.exe,,low,10.0.0.8,60,unknown,50,,7,benign,5,-0.042544705409392536,0,-1.286141869433427,low
2026-05-15 19:31:17.712104,user20,10.0.0.40,10.0.0.14,successful_login,cmd.exe,,medium,10.0.0.43,77,bruteforce,68,,26,benign,25,-0.03945728762544104,0,-1.1928081104577037,low
2026-05-15 19:34:15.712104,user8,10.0.0.47,10.0.0.23,malware_detected,chrome.exe,,low,10.0.0.2,7,benign,50,,69,phishing,79,-0.027404643167388165,0,-0.8284522987125758,low
2026-05-15 19:39:12.712104,user2,10.0.0.47,10.0.0.5,impossible_travel,svchost.exe,,medium,10.0.0.29,24,benign,1,,97,unknown,63,-0.01299314971189619,0,-0.3927876265561657,low
2026-05-15 19:40:58.712104,user5,10.0.0.33,10.0.0.50,malware_detected,winword.exe,,low,10.0.0.39,52,bruteforce,50,,97,unknown,57,-0.02641227882837588,0,-0.7984527649549732,low
2026-05-15 19:41:05.712104,user6,10.0.0.34,10.0.0.46,successful_login,powershell.exe,hash_145,critical,10.0.0.16,56,botnet,90,hash_66,100,unknown,94,-0.010304124811925275,0,-0.3114974289035547,low
2026-05-15 19:45:27.712104,user12,10.0.0.27,10.0.0.37,failed_login,chrome.exe,,low,10.0.0.28,30,benign,5,,76,botnet,59,-0.03873191863200559,0,-1.1708799427980883,low
2026-05-15 19:51:39.712104,user2,10.0.0.35,10.0.0.43,successful_login,powershell.exe,hash_192,low,10.0.0.29,63,unknown,73,,69,bruteforce,77,-0.05518731205275962,0,-1.6683324519358942,low
2026-05-15 20:00:12.712104,user2,10.0.0.41,10.0.0.39,malware_detected,winword.exe,,critical,10.0.0.41,73,bruteforce,67,hash_32,54,bruteforce,75,0.003485861895312914,1,0.10537886892113078,low
2026-05-15 20:00:44.712104,user19,10.0.0.40,10.0.0.25,suspicious_powershell,winword.exe,,low,10.0.0.10,17,benign,5,hash_110,76,phishing,84,-0.012269985903192393,0,-0.37092612243049455,low
2026-05-15 20:07:27.712104,user11,10.0.0.47,10.0.0.18,failed_login,chrome.exe,,low,10.0.0.21,25,benign,33,,1,benign,26,-0.03348857935375066,0,-1.0123718954037886,low
2026-05-15 20:11:41.712104,user6,10.0.0.35,10.0.0.15,lateral_movement,svchost.exe,,low,10.0.0.27,29,benign,20,,21,benign,3,-0.028123046480536873,0,-0.8501698913316627,low
2026-05-15 20:15:32.712104,user17,10.0.0.3,10.0.0.40,suspicious_powershell,chrome.exe,,low,10.0.0.3,57,unknown,64,,55,bruteforce,63,-0.02533733665730581,0,-0.7659568733950408,low
2026-05-15 20:38:47.712104,user6,10.0.0.43,10.0.0.14,failed_login,chrome.exe,,low,10.0.0.18,94,bruteforce,83,hash_87,54,bruteforce,85,-0.04151713955781927,0,-1.255078181188529,low
2026-05-15 20:39:25.712104,user4,10.0.0.9,10.0.0.6,lateral_movement,svchost.exe,,medium,10.0.0.46,39,benign,18,,81,ransomware,59,-0.007816949458907207,0,-0.23630921623742135,low
2026-05-15 20:44:19.712104,user17,10.0.0.47,10.0.0.18,successful_login,cmd.exe,hash_47,medium,10.0.0.21,62,unknown,90,,100,bruteforce,92,-0.03849472893869188,0,-1.163709612374282,low
2026-05-15 20:57:42.712104,user7,10.0.0.28,10.0.0.37,lateral_movement,powershell.exe,,medium,10.0.0.12,23,benign,46,,19,benign,1,-0.022327096923062673,0,-0.6749562348434921,low
2026-05-15 21:01:35.712104,user14,10.0.0.14,10.0.0.13,successful_login,winword.exe,,low,10.0.0.44,42,ransomware,71,,84,botnet,53,-0.06236604007217472,0,-1.8853480026654177,low
2026-05-15 21:08:08.712104,user14,10.0.0.30,10.0.0.50,successful_login,chrome.exe,,high,10.0.0.2,21,benign,42,,44,ransomware,95,-0.03267292332092264,0,-0.9877143178090808,low
2026-05-15 21:27:27.712104,user4,10.0.0.11,10.0.0.8,successful_login,svchost.exe,,medium,10.0.0.5,84,bruteforce,81,,81,unknown,57,-0.04092140212532258,0,-1.2370688226150035,low
2026-05-15 21:34:24.712104,user9,10.0.0.21,10.0.0.13,successful_login,winword.exe,,high,10.0.0.46,9,benign,11,,19,benign,10,-0.026883346132076547,0,-0.8126933003348887,low
2026-05-15 21:38:31.712104,user4,10.0.0.47,10.0.0.26,failed_login,chrome.exe,,high,10.0.0.23,7,benign,26,,55,bruteforce,98,-0.007748468086420934,0,-0.23423899951871732,low
2026-05-15 21:41:33.712104,user8,10.0.0.3,10.0.0.46,successful_login,winword.exe,hash_37,low,10.0.0.48,59,unknown,83,hash_144,95,phishing,66,-0.05578690544009357,0,-1.686458377422156,low
2026-05-15 21:47:21.712104,user9,10.0.0.21,10.0.0.27,successful_login,svchost.exe,,high,10.0.0.6,81,botnet,57,,61,ransomware,58,-0.025223977964587085,0,-0.7625299990150951,low
2026-05-15 21:50:45.712104,user13,10.0.0.49,10.0.0.49,lateral_movement,winword.exe,,low,10.0.0.21,36,benign,2,,73,phishing,100,-0.013801041953493076,0,-0.4172105019271346,low
2026-05-15 21:55:37.712104,user17,10.0.0.39,10.0.0.34,failed_login,powershell.exe,,low,10.0.0.50,61,botnet,96,,11,benign,45,-0.056886151980434285,0,-1.7196889988768744,low
2026-05-15 22:01:38.712104,user8,10.0.0.38,10.0.0.42,failed_login,powershell.exe,hash_89,medium,10.0.0.1,34,benign,3,,45,bruteforce,51,-0.053523640267289396,0,-1.6180390506842324,low
2026-05-15 22:05:06.712104,user3,10.0.0.2,10.0.0.4,successful_login,winword.exe,,low,10.0.0.15,4,benign,25,,39,benign,44,-0.04137012958755487,0,-1.25063401648785,low
2026-05-15 22:08:05.712104,user12,10.0.0.14,10.0.0.8,malware_detected,winword.exe,,medium,10.0.0.38,78,ransomware,63,,22,benign,0,-0.014634412858307078,0,-0.4424036065246406,low
2026-05-15 22:12:44.712104,user16,10.0.0.3,10.0.0.47,malware_detected,powershell.exe,,low,10.0.0.43,87,botnet,90,,99,phishing,62,-0.0010256069114471522,0,-0.031004468774656808,low
